internal_write_kvm_exit,4096,49
internal_write_kvm_exit,16384,47
internal_write_kvm_exit,65536,46
internal_write_kvm_exit,262144,77
internal_write_kvm_exit,1048576,264
external_write_kvm_exit,4096,101
external_write_kvm_exit,16384,101
external_write_kvm_exit,65536,102
external_write_kvm_exit,262144,100
external_write_kvm_exit,1048576,103
internal_read_kvm_exit,4096,49
internal_read_kvm_exit,16384,45
internal_read_kvm_exit,65536,50
internal_read_kvm_exit,262144,126
internal_read_kvm_exit,1048576,516
external_read_kvm_exit,4096,103
external_read_kvm_exit,16384,105
external_read_kvm_exit,65536,119
external_read_kvm_exit,262144,167
external_read_kvm_exit,1048576,364
internal_write_page_fault,4096,2
internal_write_page_fault,16384,5
internal_write_page_fault,65536,17
internal_write_page_fault,262144,65
internal_write_page_fault,1048576,257
external_write_page_fault,4096,1
external_write_page_fault,16384,1
external_write_page_fault,65536,2
external_write_page_fault,262144,2
external_write_page_fault,1048576,3
internal_read_page_fault,4096,3
internal_read_page_fault,16384,7
internal_read_page_fault,65536,30
internal_read_page_fault,262144,124
internal_read_page_fault,1048576,511
external_read_page_fault,4096,3
external_read_page_fault,16384,5
external_read_page_fault,65536,18
external_read_page_fault,262144,67
external_read_page_fault,1048576,263
internal_write_userspace_exit,4096,47
internal_write_userspace_exit,16384,41
internal_write_userspace_exit,65536,28
internal_write_userspace_exit,262144,0.11
internal_write_userspace_exit,1048576,0.762
external_write_userspace_exit,4096,100
external_write_userspace_exit,16384,100
external_write_userspace_exit,65536,100
external_write_userspace_exit,262144,100
external_write_userspace_exit,1048576,100
internal_read_userspace_exit,4096,46
internal_read_userspace_exit,16384,37
internal_read_userspace_exit,65536,19
internal_read_userspace_exit,262144,0.281
internal_read_userspace_exit,1048576,0.095
external_read_userspace_exit,4096,100
external_read_userspace_exit,16384,100
external_read_userspace_exit,65536,100
external_read_userspace_exit,262144,100
external_read_userspace_exit,1048576,100
